counterfactual_temp,indCumul,lag_day,fit,lci,uci,fit_pc,lci_pc,uci_pc,se_pc
10.02,estCumul,00,0.992504302682368,0.972035015262843,1.01340463602193,-0.7495697317632,-2.796498473715703,1.3404636021929983,2.110694936688113
10.02,estCumul,01,0.98944988985583,0.955476928400202,1.02463079477483,-1.0550110144169955,-4.452307159979796,2.46307947748301,3.528258488501432
10.02,estCumul,02,0.990330448126689,0.948085905540908,1.03445731104637,-0.9669551873310978,-5.191409445909201,3.4457311046369954,4.40670436252357
10.02,estCumul,03,0.994271957783436,0.947003902810583,1.04389931562113,-0.5728042216563978,-5.2996097189417,4.389931562113003,4.943643510742196
10.02,estCumul,04,1.00036041198117,0.949631569340362,1.0537991639792,0.03604119811699835,-5.036843065963803,5.379916397919993,5.31467319585908
10.02,estCumul,05,1.00777266184162,0.95404051958758,1.06453103102411,0.7772661841620065,-4.5959480412420035,6.453103102411006,5.637270991659699
10.02,estCumul,06,1.01576493855483,0.959058454751316,1.07582432049446,1.5764938554829966,-4.094154524868399,7.582432049445997,5.957442129752243
10.02,estCumul,07,1.02366889233293,0.964200584847633,1.08680498393986,2.3668892332930014,-3.5799415152366953,8.680498393985992,6.2553264842972895
10.02,estCumul,08,1.03089346259999,0.96942055411615,1.09626449193697,3.089346259998993,-3.0579445883849976,9.626449193696995,6.471629480654078
10.02,estCumul,09,1.03693057665776,0.974798005173526,1.10302341110802,3.6930576657759895,-2.5201994826474006,10.302341110801994,6.542112547678262
10.02,estCumul,10,1.0413628767837,0.980240378306827,1.10629664431533,4.136287678369999,-1.9759621693173024,10.629664431532992,6.431442143290967
10.02,estCumul,11,1.0438718636108,0.985147456948784,1.10609681825016,4.387186361079998,-1.4852543051215972,10.609681825016004,6.1708857806824495
10.02,estCumul,12,1.04424506464238,0.987926622536466,1.10377403559617,4.424506464237998,-1.2073377463533985,10.377403559617004,5.910582298964492
10.02,estCumul,13,1.04238111604273,0.985547961985144,1.10249164220673,4.238111604273009,-1.445203801485595,10.249164220672991,5.966514297019687
10.02,estInd,00,0.992504302682368,0.972035015262843,1.01340463602193,-0.7495697317632,-2.796498473715703,1.3404636021929983,2.110694936688113
10.02,estInd,01,0.996922519309706,0.982697792356065,1.01135315173956,-0.307748069029401,-1.7302207643934975,1.1353151739559975,1.4620081318109668
10.02,estInd,02,1.00088994731303,0.990821510104531,1.01106069702363,0.08899473130299373,-0.9178489895468989,1.1060697023629995,1.0326115775050502
10.02,estInd,03,1.00397999441924,0.994983770274986,1.01305755863282,0.39799944192400183,-0.5016229725014032,1.3057558632820099,0.92213205907317
10.02,estInd,04,1.00612353003629,0.99649831674028,1.01584171361578,0.612353003629007,-0.3501683259720001,1.5841713615780018,0.9869080038520418
10.02,estInd,05,1.00740957935927,0.997149513482439,1.01777521511342,0.7409579359269891,-0.2850486517561035,1.7775215113420062,1.0523317158663825
10.02,estInd,06,1.00793063457249,0.997677123843087,1.01828952456716,0.7930634572490103,-0.23228761569129563,1.8289524567159932,1.051653098166984
10.02,estInd,07,1.00778128234013,0.998214448082755,1.01743980462895,0.778128234012998,-0.1785551917245054,1.7439804628949895,0.980885538071171
10.02,estInd,08,1.00705752643376,0.998554327470341,1.0156331344696,0.7057526433760009,-0.14456725296589923,1.5633134469599907,0.8713677040438215
10.02,estInd,09,1.00585619588909,0.998107309461385,1.01366524142024,0.5856195889089921,-0.18926905386149606,1.366524142024006,0.7937720387170929
10.02,estInd,10,1.00427444249954,0.995989389197241,1.0126284143154,0.427444249954001,-0.4010610802758996,1.2628414315400072,0.8489298529672994
10.02,estInd,11,1.00240933000689,0.991901550779292,1.01302842413687,0.24093300068899204,-0.8098449220708015,1.302842413687011,1.0779017019172512
10.02,estInd,12,1.00035751613257,0.986433303765489,1.01447827872693,0.03575161325699572,-1.356669623451101,1.4478278726929972,1.4308660694612747
10.02,estInd,13,0.998215027618747,0.980257376942033,1.01650165028324,-0.17849723812529694,-1.9742623057967035,1.6501650283240021,1.8491976194493396
