"","fit.rr.lag0","fit.rr.lag1","fit.rr.lag2","fit.rr.lag3","fit.rr.lag4","fit.rr.lag5","fit.rr.lag6","fit.rr.lag7","fit.rr.lag8","fit.rr.lag9","fit.rr.lag10","fit.rr.lag11","fit.rr.lag12","fit.rr.lag13","refT","counterfactual_temp","lci.rr.lag0","lci.rr.lag1","lci.rr.lag2","lci.rr.lag3","lci.rr.lag4","lci.rr.lag5","lci.rr.lag6","lci.rr.lag7","lci.rr.lag8","lci.rr.lag9","lci.rr.lag10","lci.rr.lag11","lci.rr.lag12","lci.rr.lag13","uci.rr.lag0","uci.rr.lag1","uci.rr.lag2","uci.rr.lag3","uci.rr.lag4","uci.rr.lag5","uci.rr.lag6","uci.rr.lag7","uci.rr.lag8","uci.rr.lag9","uci.rr.lag10","uci.rr.lag11","uci.rr.lag12","uci.rr.lag13","label"
"82",0.992018348054798,0.986738987572885,0.983902020214466,0.983075633562529,0.98381560205634,0.985729199926094,0.988470067674565,0.991735013069621,0.99526246158897,0.998832081439386,1.0022651839494,1.00542556586302,1.00822052227246,1.01060182161036,"mean",16.4075818,0.97765915058958,0.963121605243288,0.954983693936466,0.951389696650898,0.95062332340801,0.95140818658211,0.953009311948872,0.955219443847415,0.958183822442833,0.96215698431971,0.967270054249674,0.973249351306105,0.978881704921334,0.98126927106755,1.00658844371672,1.01093550834675,1.01369603641265,1.01581686737458,1.01816683329371,1.02128830641829,1.02525029130143,1.02964647807704,1.03377592508585,1.03690514455698,1.03852641208494,1.0386655456121,1.03843867591032,1.04081119419042,"ERValues"
"83",0.991799679399989,0.986344190759209,0.983370415152046,0.982443098835953,0.983115106682879,0.984991497922317,0.987724216937248,0.991008760547233,0.994582529524381,0.998224383287314,1.00175499414128,1.00503766437433,1.00797933259184,1.01053155900373,"mean",16.7126287,0.977051673447918,0.962091388623916,0.953674177531608,0.949900311375429,0.949017348686763,0.949725227447924,0.95127872557126,0.953472021703447,0.95645856801718,0.960501971437945,0.965737433815777,0.971882766906134,0.977691743559385,0.980203097924706,1.00677029761042,1.01120836767487,1.01399135698445,1.01610077488323,1.01843798148215,1.02156731540802,1.02556601183153,1.03002326353192,1.03422609312372,1.03742829168541,1.03911584365323,1.03932361104265,1.03920519082361,1.04179841290498,"ERValues"
"84",0.991732562197118,0.986221947879732,0.983204209031674,0.982243324459698,0.982891571033714,0.984753603974913,0.987481097271347,0.990769371141523,0.994355712621989,0.998018906968134,1.00157957543543,1.00490098224963,1.00789003683606,1.01049828082523,"mean",16.8109985,0.976861765502878,0.961768250077321,0.953261587919228,0.949428479481998,0.948505468624013,0.949185433617399,0.950720290122772,0.952904921227902,0.955895476451584,0.959958413506538,0.965230124242011,0.971425614286072,0.977288455198198,0.979839086858596,1.0068297374867,1.01129739976496,1.01408734906405,1.01619234022981,1.0185242704089,1.02165459582102,1.02566330770357,1.03013839568302,1.03436338761047,1.03758842534389,1.03929790496043,1.03952991281625,1.03944983791646,1.04211680187658,"per75"
"85",0.991596806635625,0.985972956633605,0.982863087066819,0.981830095380627,0.982425565243026,0.984253782627244,0.986966280445269,0.990258387735878,0.993867486998974,0.997572495875177,1.00119416803092,1.00459587583586,1.00768460093983,1.01041192239986,"mean",17.0176755,0.976471147881081,0.961101882306509,0.952407819112622,0.948448024994463,0.947436830168787,0.948053131202895,0.949543504077457,0.951704692930282,0.9546986013244,0.958797566474578,0.964140279457928,0.97043573432663,0.976406785255242,0.979038857705242,1.00695676371353,1.01148763633654,1.01429222706149,1.01638709849257,1.0187064303497,1.02183672700587,1.02586393835886,1.03037389829609,1.03464337367141,1.03791553016318,1.03967211354629,1.03995848261575,1.03996435738188,1.04279032940606,"ERValues"
"86",0.991409114386341,0.985624358592771,0.982379076108127,0.981235851630978,0.981746553093308,0.983516076153045,0.986196772504656,0.989484897168411,0.993118777176546,0.996878218431404,1.00058474690278,1.00410234842114,1.00733843489118,1.01024482808488,"mean",17.3227224,0.975912594370235,0.960144846888833,0.951174451797622,0.947021599004747,0.945869901510946,0.94637957290007,0.947790903613999,0.94990431853819,0.95289045212011,0.957030071544063,0.96246476786883,0.968894353867976,0.97501285291052,0.977762367653795,1.00715170370619,1.0117800240237,1.01460741229033,1.01668620603567,1.01898399872008,1.02210983811421,1.02615890318219,1.03071471791084,1.03504542771546,1.03838553451057,1.04021452956804,1.04058974240057,1.04073573941096,1.04380639553682,"ERValues"
"87",0.9913871065639,0.98558311162413,0.982321264098747,0.981164213331198,0.981663966868816,0.983425587541185,0.986101609560635,0.989388474450085,0.993024689273077,0.996790224233947,1.00050674616311,1.00403835250789,1.00729253399587,1.01022115741939,"mean",17.3601408,0.975845352814168,0.960029292705316,0.951024946077347,0.946847871249777,0.945678066365904,0.946173602334945,0.947574124080953,0.94968058388172,0.952664708489642,0.956808280912139,0.962253208331372,0.968698151392104,0.974833738755547,0.977597430525039,1.00717638530201,1.01181711568552,1.01464748099476,1.01672427298289,1.01901923933991,1.02214422791344,1.02619558688477,1.03075662489967,1.03509453506392,1.03844288448377,1.04028102005889,1.04066784050122,1.04083210162492,1.04393358148423,"meanPlusSD"
"88",0.991235988707824,0.985297473380071,0.981917426597325,0.980659599697801,0.981077647946315,0.982778401513384,0.985416207323408,0.988689291077538,0.992337843572535,0.996143351847508,0.999928775311337,1.00355923504437,1.00694294769789,1.01003219814479,"mean",17.6277692,0.975371113834947,0.959212203125839,0.949964142241155,0.945610100214097,0.944305078234268,0.944692692158722,0.946008729721024,0.948058392603724,0.951021369376928,0.955186610225834,0.960698043319867,0.967245928599608,0.973497506989759,0.976361155516277,1.00735891331291,1.01209211880908,1.01494550139636,1.01700822597148,1.01928219331368,1.02239955331307,1.02646526522225,1.03106150625048,1.03544928378565,1.03885624736237,1.04076151986366,1.04123585167318,1.04153743860505,1.0448644290337,"ERValues"
"89",0.991205571711396,0.98523942750434,0.981834570074229,0.980555123371272,0.980955232036312,0.982642223650426,0.98527093787089,0.988540074557667,0.992190265630061,0.996003392213599,0.99980274824623,1.00345371970071,1.006864711707,1.00998811843517,"mean",17.6840843,0.975272634396298,0.959042064123338,0.949742455311529,0.94535030842419,0.944015541044294,0.944378911289373,0.945675559668693,0.947711687791732,0.950668694786235,0.95483701968255,0.960360964530242,0.966928987319377,0.973203605448168,0.976087970559977,1.0073988039251,1.01215240271697,1.01501108811298,1.01707096448973,1.01934038733613,1.02245584707342,1.02652417215168,1.03112738989585,1.03552533980559,1.03894459143489,1.04086439611763,1.04135813569173,1.04169008623223,1.04506563972406,"per80"
"90",0.991076816502162,0.984991379964818,0.981477185538688,0.980100573667935,0.980418428046022,0.982040780688778,0.984625096936812,0.987872569146006,0.991526127626522,0.995369696129024,0.999228298535116,1.00296869100244,1.00650025634102,1.00977595915102,"mean",17.9328161,0.974841928730629,0.958296101905577,0.948767282883234,0.9442030131232,0.942731390762496,0.942981248165176,0.944185515105004,0.946155242970037,0.949079545112227,0.953255375760126,0.958828493211938,0.965479269780019,0.971850170074587,0.974824774763614,1.00758207793448,1.01243030904094,1.01531480175576,1.01736292000042,1.01961205861065,1.02271821079405,1.02679671103619,1.0314292713823,1.03587108881352,1.03934460498788,1.04133033140129,1.04191382106045,1.04238574752401,1.04598027673909,"ERValues"
"91",0.99093098588517,0.984705160204651,0.981057403622712,0.979558010982048,0.979768473881201,0.981303236561164,0.98382395319897,0.9870357303787,0.990685070302263,0.994559051620356,0.99848536338308,1.00233287437336,1.00601248156369,1.00947804187118,"mean",18.2378629,0.97432042961136,0.957389003244088,0.947574694994461,0.942790363359897,0.941138527518591,0.941234782823313,0.942310703131711,0.944184234850016,0.947054337446092,0.951225872676301,0.95684600659612,0.963584965552124,0.97006238399817,0.973145038457518,1.00782472474588,1.01280069987022,1.01572322930021,1.01775955097752,1.01998402396988,1.02307740816478,1.02716605857416,1.03183202714561,1.03632586823527,1.03986627737215,1.04193675264097,1.04263892336043,1.04329487438804,1.04716756161579,"ERValues"
