"","fit.rr.lag0","fit.rr.lag1","fit.rr.lag2","fit.rr.lag3","fit.rr.lag4","fit.rr.lag5","fit.rr.lag6","fit.rr.lag7","fit.rr.lag8","fit.rr.lag9","fit.rr.lag10","fit.rr.lag11","fit.rr.lag12","fit.rr.lag13","fit.rr.lag14","fit.rr.lag15","fit.rr.lag16","fit.rr.lag17","fit.rr.lag18","fit.rr.lag19","fit.rr.lag20","refT","counterfactual_temp","lci.rr.lag0","lci.rr.lag1","lci.rr.lag2","lci.rr.lag3","lci.rr.lag4","lci.rr.lag5","lci.rr.lag6","lci.rr.lag7","lci.rr.lag8","lci.rr.lag9","lci.rr.lag10","lci.rr.lag11","lci.rr.lag12","lci.rr.lag13","lci.rr.lag14","lci.rr.lag15","lci.rr.lag16","lci.rr.lag17","lci.rr.lag18","lci.rr.lag19","lci.rr.lag20","uci.rr.lag0","uci.rr.lag1","uci.rr.lag2","uci.rr.lag3","uci.rr.lag4","uci.rr.lag5","uci.rr.lag6","uci.rr.lag7","uci.rr.lag8","uci.rr.lag9","uci.rr.lag10","uci.rr.lag11","uci.rr.lag12","uci.rr.lag13","uci.rr.lag14","uci.rr.lag15","uci.rr.lag16","uci.rr.lag17","uci.rr.lag18","uci.rr.lag19","uci.rr.lag20","label"
"151",0.999401947756,0.999808222063996,1.00114477250107,1.00326480009542,1.00597677941344,1.00909499539628,1.01244400252429,1.01585823958234,1.01918197446,1.02226951624444,1.0249856356722,1.02720613792987,1.02881853434233,1.02972276207513,1.02983190392706,1.02907286383746,1.02738695802947,1.02473038682317,1.02107455806665,1.01640623976553,1.01072752669081,"per05",2.6703935,0.99120572968219,0.985299655210835,0.981966214694669,0.980733949712449,0.981053245845232,0.982412732164764,0.984359500061558,0.98651435585944,0.988586444698746,0.990378732650929,0.991779415692765,0.992741267807677,0.993255634798859,0.99332726478438,0.992952482756343,0.99209968511289,0.990689256705058,0.988570056423166,0.985492767372738,0.981090334667138,0.974894798347481,1.00766593984352,1.01453042799743,1.0206979023386,1.0263132620275,1.03153349219811,1.03650194708901,1.04132977655348,1.04607495754919,1.05072439808814,1.05518720201655,1.05930364828201,1.06286752048794,1.06565474136036,1.06745178988497,1.06808107010523,1.06742394436515,1.06544403745695,1.06221340496407,1.05794105005001,1.0529933969687,1.04787730424058,"meanMinusSD"
"152",0.999398673023804,0.999804556845013,1.00114340144976,1.00326802056108,1.00598638481708,1.00911229027783,1.0124698270117,1.01589299138167,1.01922563016113,1.02232165341363,1.02504545689874,1.0272724977017,1.02888996934166,1.0297975252088,1.02990800214103,1.02914809951434,1.02745897353863,1.02479671159077,1.0211326573651,1.01645356429326,1.01076156192932,"per05",2.6804735,0.991183614813892,0.985262740807726,0.981920934181616,0.980685547061696,0.981005634095395,0.982368608144584,0.984320487643608,0.986481172775849,0.988559098205475,0.99035672831301,0.991761950124965,0.992727378414323,0.993244293187931,0.993317414158852,0.992943025617655,0.992089425733798,0.990676796412648,0.988553633142372,0.98547003186684,0.981058082265213,0.9748487517105,1.00768181870044,1.01456100031608,1.02074217523609,1.02637050591429,1.03160325615308,1.03658403367863,1.04142417381061,1.04618171985416,1.05084348225929,1.05531828396693,1.05944595734527,1.06301972473037,1.06581490200576,1.0676173877654,1.06824909940257,1.0675910691726,1.06560681155324,1.06236856036724,1.05808585773251,1.05312607585772,1.04799737731745,"ERValues"
"153",0.999294602739054,0.999683643267515,1.00108686290456,1.00334545817443,1.0062522977006,1.00960653132546,1.0132183335994,1.01690843660655,1.02050805081675,1.02385910083842,1.0268147073826,1.02923985004103,1.0310121482755,1.03202270084111,1.03217692713516,1.03139535798177,1.02961432832408,1.02678653029093,1.02288139211885,1.01788525633594,1.01180133926327,"per05",2.9855204,0.99052323247374,0.984160355505765,0.980568441972223,0.979239395666529,0.979582735989192,0.981049803665903,0.983154802895807,0.985490740462523,0.98774491618256,0.989704807381051,0.991248999795593,0.992325236805352,0.992922703905203,0.993045153587901,0.992687562903437,0.99181524309579,0.990342307137523,0.98810643710046,0.984840275246385,0.980150477051271,0.973536126641802,1.00814364602991,1.01545178184203,1.0220346323449,1.02804494273235,1.03364794971123,1.03899449781873,1.04420116599963,1.04932773691636,1.0543579265452,1.05919204448812,1.06365650155979,1.06752769114576,1.07056273938636,1.07253013742954,1.0732371883396,1.07255498629557,1.0704436813917,1.06698078182817,1.06239191129875,1.05707278558196,1.05157058081278,"ERValues"
"154",0.999180676810918,0.999542904785314,1.00100047428215,1.0033831655831,1.00646903573614,1.01004288144496,1.0139012374425,1.0178518210525,1.02171342448217,1.02531617116274,1.02850205754458,1.03112570540519,1.03305525274066,1.0341733143367,1.03437794667072,1.03358355626147,1.03172169620434,1.02874170252309,1.02461113011929,1.0193159573786,1.0128605386643,"per05",3.2905672,0.98987966740822,0.983085820275221,0.979249472139542,0.977828147722484,0.978193265783163,0.979761507850653,0.98201652638249,0.984525452043768,0.986955154819384,0.989078503279578,0.990764879024693,0.991957057288025,0.992641936972448,0.992822103304263,0.992491087230629,0.991611190271935,0.990090597065758,0.98775652252168,0.984324737081419,0.979377281193851,0.972382381954712,1.00856907943802,1.01627548470485,1.02323460774897,1.02960605022519,1.0355621484315,1.04126015788849,1.04682120073307,1.05230629382838,1.05769579972265,1.0628815077489,1.06767660498295,1.07184097591297,1.07511391113501,1.07724681040707,1.07803258923383,1.07733250517387,1.07510329011645,1.07142748883936,1.06654636261315,1.06088331934769,1.05502371270968,"ERValues"
"155",0.999164039530369,0.999521731087294,1.00098604205181,1.00338518160881,1.00649517107275,1.01009883550433,1.01399083591431,1.01797710084109,1.0218747142248,1.02551217438977,1.02872994413275,1.0313812156158,1.03333281680339,1.03446618923462,1.03467837051434,1.03388291943286,1.03201072733863,1.02901066640826,1.02485003377225,1.01951475992792,1.01300936026285,"per05",3.332973,0.989791498633108,0.982938582301822,0.979068677401073,0.977634614603254,0.978002629235227,0.979584695724636,0.981860318479213,0.984393110840258,0.986847158145579,0.988993328027458,0.990699730576698,0.991908443323164,0.992606032862751,0.99279490712123,0.992468385734127,0.991588350493694,0.990062173040339,0.987715639686009,0.984262218888863,0.979280588759885,0.972234759602157,1.00862533096044,1.01638465404034,1.0233940473331,1.02981400989032,1.03581779752977,1.0415634931214,1.04717279634105,1.05270685707287,1.05814555268546,1.06337948903982,1.06822003205687,1.07242479795947,1.07573062718879,1.07788656951574,1.07868355889072,1.07798149359341,1.07573662578322,1.07203218116357,1.06711155987343,1.0614019696103,1.05549400887505,"per25"
"156",0.999056546207906,0.999381641248438,1.00088317720522,1.00337971921512,1.00663480826273,1.01041918877671,1.01451604156284,1.0187203310014,1.02283866296716,1.02668955878061,1.03010405629257,1.03292655322019,1.03501581106017,1.03624604110025,1.0365079978633,1.0357100102167,1.03377888666992,1.03066063920951,1.02632097937166,1.02074555097298,1.01393987572578,"per05",3.5956141,0.989252245113841,0.98203786654951,0.977962274157204,0.976449689056995,0.976834853273846,0.978501185211325,0.980903030875094,0.983582648025577,0.986187173256393,0.988475243053559,0.990307137472948,0.991620577959638,0.992399999133318,0.992646634001016,0.992352441907593,0.991476700722395,0.989921807339067,0.987504838709602,0.983925226937346,0.978741118191976,0.971390753470703,1.00895801596691,1.01703172442187,1.02434128686173,1.03105246713172,1.03734385992682,1.04337833461868,1.04928088321851,1.05511327886765,1.06085229947364,1.06638123465072,1.07150027162092,1.07595312971689,1.07946163853294,1.08176043812067,1.08262829239315,1.08191672530631,1.07957899159449,1.0757024285611,1.07054349645766,1.06455267942137,1.05835274621833,"ERValues"
"157",0.998921862489528,0.999199154334894,1.00073391667429,1.0033337004233,1.00674783080623,1.01073330839319,1.01506025597865,1.01951115903309,1.02388068292751,1.02797596082704,1.03161725270089,1.03463888028332,1.03689034620285,1.03823754882902,1.03856400842505,1.03777202550858,1.035783699283,1.03254174279059,1.02801004204639,1.02217391865661,1.01504006896976,"per05",3.900661,0.988640077900972,0.981014858842757,0.97670462614853,0.975101368460907,0.975504553985462,0.977265708201684,0.979811090849088,0.982659069325087,0.985437729969852,0.987891849950856,0.989872716131279,0.991312924105674,0.99219428470036,0.992516513045047,0.992269888540963,0.991410662987484,0.989835586691446,0.987351907874647,0.983643196649552,0.978244309959824,0.970564193189721,1.00931057688671,1.01772051771093,1.02535438572803,1.03238344952181,1.03899176143483,1.04534704545737,1.05157752641334,1.05774529115869,1.06382333554873,1.06968650069422,1.07512222402643,1.07985842468429,1.08359986207073,1.08606475925661,1.08701796965935,1.08630138562649,1.08386472069205,1.07979985869475,1.07437803682053,1.06807625594544,1.06155404129228,"ERValues"
"158",0.99877627774622,0.998994747590474,1.00055164136295,1.003243696177,1.00680632628302,1.01098310409666,1.01553140013948,1.02022150709736,1.02483640952853,1.02917208134341,1.03303820054772,1.03625917551063,1.03867538055791,1.04014450212452,1.04054290093285,1.03976690136731,1.03773392684354,1.03438340974078,1.02967741637885,1.02360094136297,1.01616184099667,"per05",4.2057078,0.988042037439678,0.980014747717874,0.975473774547299,0.973779928818741,0.974198775184882,0.976051280387602,0.978736804103799,0.981750777824709,0.984702902165637,0.987324461275672,0.989457863288801,0.991030522252067,0.992021488165752,0.992428816708493,0.992241020524813,0.991411337542479,0.98983101402639,0.987297755598138,0.983479679779007,0.97788882384284,0.969905318348752,1.00962713648659,1.01834233417134,1.02627421992835,1.03359895201355,1.04050528954026,1.04716510014005,1.05370925088854,1.06019974422658,1.06660563707638,1.07279340739537,1.07853801903576,1.08355197415085,1.08752336420848,1.09015434365169,1.09119609680022,1.09048098225189,1.08795510310551,1.0837146466506,1.07804523428371,1.07144990474658,1.06462442009875,"ERValues"
"159",0.998619444478194,0.998767726348055,1.00033530373517,1.00310829952164,1.00680852592168,1.01116644989171,1.01592700500019,1.02084858919753,1.02570277970141,1.03027463502517,1.03436346243236,1.03778393426963,1.04036744030742,1.04196356672241,1.04244159674309,1.0416919340481,1.03962735829029,1.03618403288482,1.03132219845406,1.02502650082459,1.01730591976332,"per05",4.5107547,0.98745672464216,0.979035018137825,0.974266367737369,0.972481431211891,0.972913194128375,0.974853351267264,0.977675504525306,0.980853067576574,0.983977995301527,0.98676843579956,0.989058039443757,0.99076900253331,0.991877504540839,0.992379829649786,0.992262663485283,0.991476260580296,0.989906508236453,0.987341829232018,0.983435219983985,0.977676209432306,0.969416350309285,1.00990835345349,1.01889815248062,1.02710177938594,1.03469971587556,1.04188473749368,1.0488322044105,1.05567509333251,1.06247497868505,1.0691968695548,1.07569900400812,1.08174417450443,1.08702986415033,1.09122790455144,1.0940247291806,1.09515808929396,1.09445089973789,1.09184557845888,1.08744238136915,1.08154096519082,1.07467003621044,1.06756125379493,"ERValues"
"160",0.998451015977563,0.998517398371581,1.00008386084567,1.00292611045192,1.00675267014597,1.01128123082631,1.01624461377127,1.02138963199712,1.02647674254483,1.03128034734746,1.03558960954651,1.03920965771571,1.04196305425491,1.04369140775956,1.04425701367736,1.04354441396461,1.04146177537645,1.03794199778992,1.03294347858237,1.02645047630128,1.01847303613963,"per05",4.8158015,0.986882438793072,0.978072636396174,0.973078387590801,0.971201176165739,0.971642672592109,0.973666526399149,0.97662166907066,0.979960369046543,0.983257444392197,0.986218251648124,0.988667811366762,0.990523088919713,0.991757316352715,0.992364930015211,0.992330760562904,0.991602132205323,0.990059722476444,0.987482901357273,0.983509785592298,0.977607522908714,0.969099041701714,1.01015520402391,1.01938951949873,1.027838806697,1.03568736087955,1.04313135624451,1.05034906725584,1.05747511828391,1.06457037784726,1.07159575449416,1.0784014117035,1.08473829841604,1.09028928731729,1.09471035759529,1.09767256145825,1.09890044121557,1.09820754569662,1.09553252692397,1.09097948865278,1.08486183419444,1.07773370765836,1.07036255398832,"ERValues"
