"","fit.rr.lag0","fit.rr.lag1","fit.rr.lag2","fit.rr.lag3","fit.rr.lag4","fit.rr.lag5","fit.rr.lag6","fit.rr.lag7","fit.rr.lag8","fit.rr.lag9","fit.rr.lag10","fit.rr.lag11","fit.rr.lag12","fit.rr.lag13","refT","counterfactual_temp","lci.rr.lag0","lci.rr.lag1","lci.rr.lag2","lci.rr.lag3","lci.rr.lag4","lci.rr.lag5","lci.rr.lag6","lci.rr.lag7","lci.rr.lag8","lci.rr.lag9","lci.rr.lag10","lci.rr.lag11","lci.rr.lag12","lci.rr.lag13","uci.rr.lag0","uci.rr.lag1","uci.rr.lag2","uci.rr.lag3","uci.rr.lag4","uci.rr.lag5","uci.rr.lag6","uci.rr.lag7","uci.rr.lag8","uci.rr.lag9","uci.rr.lag10","uci.rr.lag11","uci.rr.lag12","uci.rr.lag13","label"
"181",0.98954248850753,0.985546764464589,0.98723710192715,0.993313640979806,1.00242466591823,1.01334863088574,1.02497027806449,1.03627357665834,1.0463474747856,1.05440012029856,1.05977750912285,1.06198279240758,1.06069287896848,1.05576959354559,"per05",10.9167385,0.966205270214895,0.946934889609207,0.9392956672291,0.939696429961187,0.944876895616033,0.952368753088267,0.960579286510793,0.968725931657266,0.976564822459457,0.984036390630607,0.990918856197913,0.996426486216101,0.99859693977223,0.993678773921674,1.01344338180218,1.02573306317552,1.03762545641957,1.04999014351615,1.06347738578805,1.07823303146826,1.09367762314725,1.10853120638893,1.12111660466416,1.12979522329774,1.13342112910436,1.13185214059556,1.12665014149858,1.12174020811205,"ERValues"
"182",0.989123060743221,0.984900233659289,0.98653050011628,0.992678616498794,1.00195816062049,1.01311678896704,1.0250107745149,1.03659731617018,1.04694038155658,1.05522552086694,1.06077940235382,1.06309009724593,1.06182455983193,1.05684040159659,"per05",11.2217854,0.965226669549911,0.945394762111336,0.937514817416237,0.937898883396943,0.943204802522184,0.950901972178879,0.959356193441898,0.967765223849807,0.97588253529732,0.983654227998939,0.990862901458802,0.996711351115132,0.999174850079669,0.994329130161591,1.01361106169005,1.02605653123757,1.03810884860669,1.05065786205538,1.06437133584293,1.07940214461328,1.09515849801544,1.11032507617568,1.12317222912477,1.13200438547813,1.13562929725341,1.13388951936578,1.12840249709286,1.12328161829608,"ERValues"
"183",0.988706890198707,0.984255733390904,0.985820613232317,0.992031916838562,1.00146969054492,1.01285191769817,1.02500745998329,1.0368677167911,1.04747253530704,1.0559855936921,1.06171480277517,1.06413355277338,1.06289906143525,1.05786476144965,"per05",11.5268322,0.964249511703877,0.94385460590239,0.9357288947724,0.936088181516958,0.94150941244478,0.949400703636732,0.958087327938972,0.966748267057859,0.975135192330189,0.983200695067709,0.990732582000877,0.996923090726199,0.999685699233626,0.994921142112192,1.01378460954472,1.02638620678941,1.03859385651453,1.05131903538359,1.06524855495161,1.08054376119084,1.0966018048496,1.11207301710038,1.12517599698221,1.1341586511068,1.13778262965305,1.13587520308434,1.13010960911617,1.12479050464356,"ERValues"
"184",0.988294939536815,0.983614678753553,0.985108876359239,0.991374661017746,1.00095981415211,1.01255385375469,1.02495937058437,1.03708301930678,1.04794147073555,1.05667733631291,1.06258040915017,1.06510985036083,1.06391339034695,1.05884032347346,"per05",11.8318791,0.963277701429286,0.942320559630513,0.933945030646965,0.934271620597055,0.939797702682666,0.947871379099526,0.956778505748474,0.965680234423566,0.974327250219425,0.982679364215489,0.990530321928721,0.997062689380952,1.00012900847729,0.99545387525681,1.01396189911262,1.0267183777024,1.03907560556269,1.05196786120932,1.06610236084578,1.0816502421747,1.09799886288925,1.113765354819,1.12711753247183,1.13624752257696,1.1398713405474,1.13780106849653,1.13176569479061,1.1262629625347,"ERValues"
"185",0.987888170397424,0.982978482012414,0.984396721403681,0.990707966363898,1.00042909087966,1.01222243765479,1.02486554843212,1.03724147136276,1.04834472880394,1.05729775072853,1.06337292224475,1.06601568095046,1.06486455092708,1.05976473512252,"per05",12.1369259,0.962315231201006,0.940798895301942,0.932170523148828,0.932456698404565,0.938076892580731,0.946320719461044,0.955435885349723,0.964566700616426,0.973463630064359,0.98209433822765,0.990259143172478,0.997131791672626,1.00050500204191,0.995927139526618,1.01414069482531,1.02704913975193,1.03954896775426,1.05259823463786,1.06692572196811,1.08271354755431,1.0993405297715,1.11539188448784,1.12898585675804,1.13825982920643,1.14188490917715,1.13965820919826,1.13336416060581,1.12769423508546,"ERValues"
"186",0.987487542364432,0.982348550984419,0.983685575214096,0.990032946679907,0.999878079691278,1.01185751303473,1.02472504193658,1.03734132896286,1.04867985944921,1.05784384714411,1.06408904925259,1.0668477396883,1.06574954966848,1.0606356445699,"per05",12.4419728,0.961366134524989,0.939295940882665,0.930412739947032,0.930651003446403,0.936354321939004,0.944755602918081,0.954065825214777,0.963413488234419,0.97254955409938,0.981450080089484,0.989922493081304,0.997132534743714,1.0008144508893,0.996341338199979,1.01431869847044,1.02737447658334,1.0400086642616,1.05320386684368,1.06771138961245,1.08372538201672,1.10061736184244,1.11694204608499,1.13076957670584,1.14018392544084,1.14381228091387,1.1414371309934,1.13489778410903,1.12907888833014,"ERValues"
"187",0.987094014086251,0.981726290784508,0.982976861450502,0.989350713891672,0.999307340356211,1.01145892757517,1.02453690648317,1.03738085701953,1.04894442206903,1.05831264436427,1.06472550397849,1.06760272572861,1.06656539447322,1.06145069941468,"per05",12.7470196,0.960434447838017,0.937818016862363,0.928679037534581,0.928862121051495,0.934637345282153,0.943182947198371,0.952674753250108,0.962226524122671,0.971590389525838,0.980751246128976,0.989524069939293,0.997067370928649,1.00105849817191,0.996697293605307,1.014493591768,1.02769033297316,1.04044935989104,1.05377839497849,1.06845202102248,1.08467733138133,1.10181976499856,1.11840509020658,1.13245706467589,1.14200788185794,1.14564206496947,1.14312795024231,1.13635890686226,1.13041100293594,"ERValues"
"188",0.986708542291117,0.98111310227583,0.982271998746549,0.988662376192957,0.998717431896407,1.01102653210055,1.02430020450193,1.03735833060276,1.04913598798894,1.05870117331524,1.06527901106386,1.06827734668259,1.06730909881539,1.0622075501406,"per05",13.0520665,0.959524170450687,0.9363713701051,0.926976677547246,0.927097536515247,0.932933223352505,0.941609589312334,0.951269034169015,0.961011694025618,0.970591490852583,0.98000251725213,0.989067645004233,0.996938883479443,1.00123847255942,0.99699605682267,1.01466307719269,1.02799268558292,1.04086575519303,1.05431549065866,1.06914030265688,1.08556100130391,1.10293815025654,1.11977025124761,1.13403664844277,1.14371968913086,1.14736274828638,1.1447206126139,1.13773965307404,1.13168439519352,"ERValues"
"189",0.986332082891469,0.98051038381963,0.981572402611427,0.987969039758747,0.998108913976876,1.01056018168097,1.02401400640864,1.03727203585444,1.04925214141592,1.05900647799192,1.06574630676915,1.06886831901064,1.06797768153163,1.06290384920986,"per05",13.3571133,0.958639231805526,0.934962119646056,0.925312757278129,0.925364552925847,0.931249028651364,0.940042178127178,0.949854848197798,0.959774706887456,0.96955804981247,0.979208434897344,0.988556885030317,0.99674959647615,1.00135568779908,0.997238698910804,1.01482491584319,1.02827760887475,1.04125267266662,1.05480896197678,1.06976906660813,1.08636814875014,1.10396308163362,1.12102691250832,1.13549679307891,1.14530745494082,1.14896290501002,1.14620511252143,1.13903215625269,1.13289285092835,"ERValues"
"190",0.985965590057573,0.979919529809351,0.980879483649358,0.987271806879992,0.997482345256886,1.0100597345539,1.02367739043571,1.03712027096727,1.04929048163142,1.05922561872014,1.06612414295972,1.06937237224788,1.06856817077078,1.06353725432141,"per05",13.6621602,0.957783455544965,0.933596197725416,0.923694134747366,0.92367020336406,0.929591545477518,0.938487061769889,0.948438065089121,0.958520955007137,0.968494941611611,0.978373233485546,0.98799517068357,0.996501778505823,1.00141123200327,0.997426088756624,1.01497696493875,1.02854134072234,1.04160514314338,1.05525285660417,1.07033140946659,1.08709081768594,1.10488543033202,1.12216477984377,1.13682629359961,1.14675961376824,1.15043142105158,1.14757173062123,1.14022880819923,1.13403038488752,"ERValues"
