adate,fips,tmean,avgrelhum
2015-01-22,6001,9.78854292445358,85
2015-01-22,6005,6.485266063484058,85
2015-01-22,6007,9.309493269027016,85
2015-01-22,6009,7.137041908983892,85
2015-01-22,6011,9.853546193698435,85
2015-01-22,6013,9.580692898682074,85
2015-01-22,6017,5.639264942513988,85
2015-01-22,6025,16.034120007405427,34
2015-01-22,6029,8.399545601560213,34
2015-01-22,6033,9.931917705592769,85
2015-01-22,6037,12.169793810494793,34
2015-01-22,6041,10.401914648061547,85
2015-01-22,6045,9.463946142392233,85
2015-01-22,6047,8.139636666963982,85
2015-01-22,6053,9.671523203348931,85
2015-01-22,6055,9.818718983726805,85
2015-01-22,6057,6.186384053622938,85
2015-01-22,6059,16.093770438854303,34
2015-01-22,6061,6.341781710962296,85
2015-01-22,6065,13.973554922486283,34
2015-01-22,6067,8.888514238503612,85
2015-01-22,6069,9.232546243074298,85
2015-01-22,6071,11.060219356444229,34
2015-01-22,6073,12.707884490304608,34
2015-01-22,6075,12.353874401441189,85
2015-01-22,6077,9.028854132757742,85
2015-01-22,6081,11.332014210372563,85
2015-01-22,6085,9.055813263726014,85
2015-01-22,6087,10.360778688158227,85
2015-01-22,6095,8.783970180959928,85
2015-01-22,6097,10.274735424645321,85
2015-01-22,6099,8.017798369190453,85
2015-01-22,6101,8.20689514434019,85
2015-01-22,6111,11.390970412932809,34
2015-01-22,6113,9.018408073134582,85
2015-01-22,6115,8.783271916721873,85
2015-01-23,6001,8.606457541792476,63
2015-01-23,6005,6.809792274581028,63
2015-01-23,6007,8.944050701125414,63
2015-01-23,6009,7.895703296050624,63
2015-01-23,6011,8.444762287323517,63
2015-01-23,6013,8.233435143267094,63
2015-01-23,6017,6.19489017304698,63
2015-01-23,6025,12.699196946323662,28
2015-01-23,6029,8.309550858885858,28
2015-01-23,6033,10.160394118729698,63
2015-01-23,6037,12.335887004416966,28
2015-01-23,6041,9.756863313627612,63
2015-01-23,6045,10.947860152875135,63
2015-01-23,6047,6.475536983294284,63
2015-01-23,6053,10.563467502331777,63
2015-01-23,6055,9.244355239444463,63
2015-01-23,6057,6.318681311318539,63
2015-01-23,6059,16.4748999353207,28
2015-01-23,6061,6.221642797759024,63
2015-01-23,6065,12.056625700203423,28
2015-01-23,6067,7.516595132190597,63
2015-01-23,6069,9.741519930453446,63
2015-01-23,6071,9.51870163330143,28
2015-01-23,6073,12.499320806296666,28
2015-01-23,6075,11.62804517118854,63
2015-01-23,6077,6.764908491607979,63
2015-01-23,6081,11.047635667075255,63
2015-01-23,6085,8.607573105520697,63
2015-01-23,6087,10.536117399280673,63
2015-01-23,6095,7.60153361482013,63
2015-01-23,6097,10.128827378611906,63
2015-01-23,6099,6.556524920017992,63
2015-01-23,6101,7.430086051646489,63
2015-01-23,6111,12.398215809056715,28
2015-01-23,6113,7.90770241447259,63
2015-01-23,6115,8.531867372933968,63
2015-01-24,6001,11.878324912843052,61
2015-01-24,6005,7.784132546593104,61
2015-01-24,6007,12.71052703155391,61
2015-01-24,6009,8.332711653947548,61
2015-01-24,6011,12.927363650092586,61
2015-01-24,6013,10.352378442605465,61
2015-01-24,6017,7.683595534317462,61
2015-01-24,6025,11.929328821004036,25
2015-01-24,6029,8.157706565216943,25
2015-01-24,6033,13.342737635228396,61
2015-01-24,6037,12.765978573076682,25
2015-01-24,6041,12.639549839004488,61
2015-01-24,6045,12.56445633125859,61
2015-01-24,6047,6.7009177778009805,61
2015-01-24,6053,11.79929526974906,61
2015-01-24,6055,12.65384101625095,61
2015-01-24,6057,8.464121087627193,61
2015-01-24,6059,16.582953812818698,25
2015-01-24,6061,7.963578151115023,61
2015-01-24,6065,11.660188780224598,25
2015-01-24,6067,8.697761775441398,61
2015-01-24,6069,11.290754698010495,61
2015-01-24,6071,9.849608321259236,25
2015-01-24,6073,12.661554735359541,25
2015-01-24,6075,13.35723576735958,61
2015-01-24,6077,7.34513458527804,61
2015-01-24,6081,13.776556482644267,61
2015-01-24,6085,11.485599023409947,61
2015-01-24,6087,12.713082618771645,61
2015-01-24,6095,8.59807561771571,61
2015-01-24,6097,13.268217178429163,61
2015-01-24,6099,6.993008854717247,61
2015-01-24,6101,10.055329221251807,61
2015-01-24,6111,12.741109377231712,25
2015-01-24,6113,10.668480163714571,61
2015-01-24,6115,11.085052394320515,61
2015-01-25,6001,12.131378595786812,73
2015-01-25,6005,9.048598291447828,73
2015-01-25,6007,13.534020415077475,73
2015-01-25,6009,9.976486235292787,73
2015-01-25,6011,13.584572446474782,73
2015-01-25,6013,10.337100363352631,73
2015-01-25,6017,9.722976790111804,73
2015-01-25,6025,14.844650643229597,29
2015-01-25,6029,9.500885377382668,29
2015-01-25,6033,15.546430704763369,73
2015-01-25,6037,15.175753795212865,29
2015-01-25,6041,11.187321576840095,73
2015-01-25,6045,15.466148700620657,73
2015-01-25,6047,6.961167703288215,73
2015-01-25,6053,13.327036228361269,73
2015-01-25,6055,12.525009609991363,73
2015-01-25,6057,10.460116484722803,73
2015-01-25,6059,19.759664550244242,29
2015-01-25,6061,9.538714526464366,73
2015-01-25,6065,15.531145796463576,29
2015-01-25,6067,8.451241523090996,73
2015-01-25,6069,12.838127858302434,73
2015-01-25,6071,13.105273320742219,29
2015-01-25,6073,15.492806144499976,29
2015-01-25,6075,13.666046298026501,73
2015-01-25,6077,7.840095597382097,73
2015-01-25,6081,14.609178804755782,73
2015-01-25,6085,12.61695132773321,73
2015-01-25,6087,14.129266219567626,73
2015-01-25,6095,9.069616596452686,73
2015-01-25,6097,12.895019947889699,73
